time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-10T13:01:39.430Z,52.0946666666667,-176.1425,4.8,0.21,ml,5.0,183.0,0.02163,0.15,av,av93192436,2024-07-11T00:53:27.320Z,"41 km NE of Adak, Alaska",earthquake,0.63,0.63,0.237540233473438,6.0,reviewed,av,av
2024-07-10T12:21:49.770Z,51.8995,178.494,1.8,-0.3,ml,4.0,316.0,0.05005,0.19,av,av93014979,2024-07-11T00:38:22.800Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,1.94,4.76,0.223126637220208,4.0,reviewed,av,av
2024-07-10T12:09:11.740Z,57.0486666666667,-135.692333333333,6.13,1.24,ml,5.0,156.0,0.01041,0.16,av,av93192366,2024-07-11T00:48:41.950Z,"21 km W of Sitka, Alaska",earthquake,1.09,0.67,0.205895785044569,5.0,reviewed,av,av
2024-07-10T11:48:44.490Z,58.3001666666667,-155.033833333333,1.69,-0.28,ml,4.0,246.0,0.1481,0.03,av,av93014974,2024-07-11T00:31:32.320Z,"88 km NNW of Karluk, Alaska",earthquake,0.74,0.62,0.203483478881634,4.0,reviewed,av,av
2024-07-10T11:07:24.710Z,52.048,-176.1465,2.75,-0.5,ml,6.0,152.0,0.00801,0.33,av,av93014969,2024-07-11T00:22:54.800Z,"38 km ENE of Adak, Alaska",earthquake,1.14,1.78,0.200606213503559,6.0,reviewed,av,av
2024-07-10T10:45:21.380Z,52.7815,-169.878,9.24,0.56,ml,5.0,206.0,0.03277,0.05,av,av93014964,2024-07-11T00:09:26.850Z,"70 km WSW of Nikolski, Alaska",earthquake,0.85,0.7,0.345015485832239,5.0,reviewed,av,av
2024-07-10T09:50:57.070Z,51.864,-177.914333333333,5.32,0.42,ml,5.0,179.0,0.05631,0.08,av,av93192221,2024-07-10T23:59:21.870Z,"88 km W of Adak, Alaska",earthquake,0.4,0.94,0.262930127995457,5.0,reviewed,av,av
2024-07-10T09:42:43.350Z,57.0551666666667,-135.717333333333,5.63,-0.17,ml,4.0,130.0,0.01221,0.08,av,av93192211,2024-07-11T00:03:39.040Z,"23 km W of Sitka, Alaska",earthquake,0.64,0.55,0.249562301984218,4.0,reviewed,av,av
2024-07-11T01:59:03.700Z,35.5164986,-118.3949966,2.66,1.46,ml,25.0,66.0,0.1595,0.13,ci,ci40655911,2024-07-11T02:01:19.046Z,"12 km SE of Bodfish, CA",earthquake,0.25,1.0,0.208,5.0,automatic,ci,ci
2024-07-11T01:42:48.820Z,17.9348333333333,-66.8468333333333,3.25,2.05,md,5.0,220.0,0.191,0.2,pr,pr71455058,2024-07-11T01:58:56.900Z,"6 km SE of Maria Antonia, Puerto Rico",earthquake,0.98,1.52,0.0721009152592589,5.0,reviewed,pr,pr
2024-07-11T01:33:01.120Z,33.4071667,-116.3486667,12.1,0.84,ml,41.0,84.0,0.05536,0.2,ci,ci40655887,2024-07-11T01:42:32.935Z,"17 km N of Borrego Springs, CA",earthquake,0.23,0.53,0.178,19.0,automatic,ci,ci
2024-07-11T01:20:34.937Z,31.68,-104.459,3.5356,1.9,ml,12.0,70.0,0.0,0.4,tx,tx2024nmxg,2024-07-11T01:41:13.285Z,"55 km S of Whites City, New Mexico",earthquake,0.0,1.64024980887092,0.1,9.0,automatic,tx,tx
2024-07-11T01:19:11.800Z,38.8276672363281,-122.823333740234,1.72000002861023,0.97,md,14.0,64.0,0.0102,0.02,nc,nc75033482,2024-07-11T01:20:46.330Z,"8 km NW of The Geysers, CA",earthquake,0.26,0.529999971,0.31,15.0,automatic,nc,nc
2024-07-11T01:09:02.480Z,38.8333320617676,-122.796997070312,2.22000002861023,1.09,md,21.0,46.0,0.007259,0.01,nc,nc75033477,2024-07-11T01:10:41.320Z,"7 km WNW of Cobb, CA",earthquake,0.22,0.449999988,0.16,22.0,automatic,nc,nc
2024-07-11T01:08:56.710Z,39.2949981689453,-123.236335754395,4.05999994277954,1.27,md,8.0,96.0,0.1023,0.02,nc,nc75033472,2024-07-11T01:10:31.262Z,"4 km NNW of Redwood Valley, CA",earthquake,0.32,2.08999991,0.13,5.0,automatic,nc,nc
2024-07-11T00:59:45.167Z,29.2877,142.3118,19.97,4.5,mb,54.0,115.0,2.187,0.72,us,us7000myf5,2024-07-11T01:19:31.040Z,"Izu Islands, Japan region",earthquake,9.78,4.541,0.072,57.0,reviewed,us,us
2024-07-11T00:49:16.643Z,41.6147,82.4404,10.0,4.3,mb,24.0,94.0,2.777,0.62,us,us7000myf4,2024-07-11T01:13:58.040Z,"42 km WSW of Kuqa, China",earthquake,7.76,1.89,0.217,6.0,reviewed,us,us
2024-07-10T15:53:38.440Z,51.93,-178.014,12.26,-0.22,ml,4.0,304.0,0.03569,0.07,av,av93014989,2024-07-11T01:51:05.720Z,"95 km W of Adak, Alaska",earthquake,1.66,0.63,0.232513919233874,4.0,reviewed,av,av
2024-07-10T13:43:52.960Z,51.5313333333333,-177.172166666667,10.33,1.34,ml,10.0,245.0,0.2338,0.09,av,av93192501,2024-07-11T01:25:22.800Z,"53 km SW of Adak, Alaska",earthquake,0.56,1.41,0.123003659684922,10.0,reviewed,av,av
2024-07-11T02:38:38.657Z,38.6619,-119.6764,0.0,1.9,ml,8.0,105.67000000000002,0.363,0.2348,nn,nn00880727,2024-07-11T02:41:04.379Z,"9 km ESE of Markleeville, California",earthquake,,46.0,0.65,5.0,automatic,nn,nn
2024-07-11T02:35:36.880Z,19.4021663665771,-155.281661987305,0.330000013113022,2.02999997,md,11.0,68.0,0.01015,0.0900000036,hv,hv74326851,2024-07-11T02:37:07.300Z,"6 km SW of Volcano, Hawaii",earthquake,0.17,0.25,0.150000006,9.0,automatic,hv,hv
2024-07-11T02:34:02.070Z,38.5574989318848,-119.509834289551,4.78000020980835,2.95,md,23.0,106.0,,0.18,nc,nc75033512,2024-07-11T02:35:36.318Z,"5 km NNW of Walker, CA",earthquake,0.39,0.689999998,0.1,15.0,automatic,nc,nc
2024-07-11T02:30:27.790Z,38.8110008239746,-122.807167053223,2.99000000953674,1.07,md,14.0,93.0,0.009751,0.03,nc,nc75033507,2024-07-11T02:32:06.052Z,"6 km NW of The Geysers, CA",earthquake,0.37,0.629999995,0.15,17.0,automatic,nc,nc
2024-07-11T02:23:30.406Z,59.445,-153.6685,178.5,3.5,ml,,,,1.21,ak,ak0248v81uyo,2024-07-11T02:26:33.568Z,"45 km SSE of Pedro Bay, Alaska",earthquake,,2.0,,,automatic,ak,ak
2024-07-11T02:13:17.513Z,6.0646,123.1605,620.077,7.1,mww,136.0,17.0,2.602,1.01,us,us7000myfa,2024-07-11T02:40:43.123Z,"106 km WSW of Sangay, Philippines",earthquake,9.39,4.123,0.055,32.0,reviewed,us,us
2024-07-11T02:07:39.280Z,38.8098335266113,-122.821334838867,2.83999991416931,1.07,md,23.0,53.0,0.006203,0.02,nc,nc75033497,2024-07-11T02:09:15.931Z,"7 km NW of The Geysers, CA",earthquake,0.25,0.449999988,0.13,26.0,automatic,nc,nc
